layer,gender_l2
0,0.0
1,0.440472428749005
2,1.076930303623279
3,1.5509922270973524
4,2.1412385334571202
5,2.9530725543697676
6,2.9572909732659656
7,3.470946309963862
8,3.924081235130628
9,4.037005570530892
10,4.543151984612147
11,4.589231664935748
12,5.125644140442213
13,5.303057514627775
14,5.123171104987462
15,5.242475738128026
16,6.41627778907617
17,7.98313759068648
18,9.808102742830913
19,12.038127527634304
20,13.489055107037226
21,15.491575463612874
22,16.430225592851638
